orderId,Account,Order ID,B/S,Contract,Product,Product Description,avgPrice,filledQty,Fill Time,lastCommandId,Status,_priceFormat,_priceFormatType,_tickSize,spreadDefinitionId,Version ID,Timestamp,Date,Quantity,Text,Type,Limit Price,Stop Price,decimalLimit,decimalStop,Filled Qty,Avg Fill Price,decimalFillAvg,Venue,Notional Value,Currency
462369910005,LFE0256783283001,462369910005, Sell,MESM6,MES,Micro E-mini S&P 500,6595.5,1,04/07/2026 22:04:32,462369910005, Filled,-2,0,0.25,,462369910005,04/07/2026 22:04:12,4/7/26,1,Tradingview, Stop,,6595.50,,6595.5,1,6595.50,6595.5,,"32,977.50",USD
462369910008,LFE0256783283001,462369910008, Buy,MESM6,MES,Micro E-mini S&P 500,,,,462369910032, Canceled,-2,0,0.25,,462369910032,04/07/2026 22:23:02,4/7/26,1,Tradingview, Limit,6595.50,,6595.5,,,,,,,USD
462369910010,LFE0256783283001,462369910010, Buy,MESM6,MES,Micro E-mini S&P 500,,,,462369910016, Canceled,-2,0,0.25,,462369910016,04/07/2026 22:04:32,4/7/26,1,Tradingview, Stop,,6622.75,,6622.75,,,,,,USD
462369910042,LFE0256783283001,462369910042, Buy,MESM6,MES,Micro E-mini S&P 500,6605.75,1,04/07/2026 22:29:21,462369910042, Filled,-2,0,0.25,,462369910042,04/07/2026 22:29:21,4/7/26,1,Exit, Market,,,,,1,6605.75,6605.75,,"33,028.75",USD
462369910056,LFE0256783283001,462369910056, Sell,MESM6,MES,Micro E-mini S&P 500,6799.75,1,04/08/2026 22:35:23,462369910056, Filled,-2,0,0.25,,462369910056,04/08/2026 22:35:22,4/8/26,1,Tradingview, Stop,,6799.75,,6799.75,1,6799.75,6799.75,,"33,998.75",USD
462369910059,LFE0256783283001,462369910059, Buy,MESM6,MES,Micro E-mini S&P 500,6788.0,1,04/08/2026 22:55:53,462369910082, Filled,-2,0,0.25,,462369910082,04/08/2026 22:52:12,4/8/26,1,Tradingview, Limit,6788.00,,6788.0,,1,6788.00,6788.0,,"33,940.00",USD
462369910061,LFE0256783283001,462369910061, Buy,MESM6,MES,Micro E-mini S&P 500,,,,462369910066, Canceled,-2,0,0.25,,462369910066,04/08/2026 22:35:23,4/8/26,1,Tradingview, Stop,,6813.25,,6813.25,,,,,,USD
462369910100,LFE0256783283001,462369910100, Sell,MESM6,MES,Micro E-mini S&P 500,6805.25,1,04/09/2026 22:29:58,462369910100, Filled,-2,0,0.25,,462369910100,04/09/2026 22:29:53,4/9/26,1,Tradingview, Limit,6805.25,,6805.25,,1,6805.25,6805.25,,"34,026.25",USD
462369910103,LFE0256783283001,462369910103, Buy,MESM6,MES,Micro E-mini S&P 500,,,,462369910116, Canceled,-2,0,0.25,,462369910116,04/09/2026 22:29:58,4/9/26,1,Tradingview, Limit,6792.75,,6792.75,,,,,,,USD
462369910105,LFE0256783283001,462369910105, Buy,MESM6,MES,Micro E-mini S&P 500,6815.5,1,04/09/2026 22:54:59,462369910122, Filled,-2,0,0.25,,462369910122,04/09/2026 22:54:58,4/9/26,1,Tradingview, Stop,,6815.50,,6815.5,1,6815.50,6815.5,,"34,077.50",USD
462369910135,LFE0256783283001,462369910135, Buy,MESM6,MES,Micro E-mini S&P 500,6815.25,1,04/09/2026 22:55:18,462369910135, Filled,-2,0,0.25,,462369910135,04/09/2026 22:55:15,4/9/26,1,Tradingview, Limit,6815.25,,6815.25,,1,6815.25,6815.25,,"34,076.25",USD
462369910138,LFE0256783283001,462369910138, Sell,MESM6,MES,Micro E-mini S&P 500,6825.75,1,04/09/2026 23:18:57,462369910161, Filled,-2,0,0.25,,462369910161,04/09/2026 22:56:07,4/9/26,1,Tradingview, Limit,6825.75,,6825.75,,1,6825.75,6825.75,,"34,128.75",USD
462369910140,LFE0256783283001,462369910140, Sell,MESM6,MES,Micro E-mini S&P 500,,,,462369910157, Canceled,-2,0,0.25,,462369910157,04/09/2026 22:55:30,4/9/26,1,Tradingview, Stop,,6805.75,,6805.75,,,,,,USD
462369910179,LFE0256783283001,462369910179, Buy,MESM6,MES,Micro E-mini S&P 500,6876.5,1,04/10/2026 22:24:37,462369910186, Filled,-2,0,0.25,,462369910186,04/10/2026 22:21:26,4/10/26,1,Tradingview, Stop,,6876.50,,6876.5,1,6876.50,6876.5,,"34,382.50",USD
462369910182,LFE0256783283001,462369910182, Sell,MESM6,MES,Micro E-mini S&P 500,6875.5,1,04/10/2026 22:52:37,462369910215, Filled,-2,0,0.25,,462369910215,04/10/2026 22:48:35,4/10/26,1,Tradingview, Limit,6875.50,,6875.5,,1,6875.50,6875.5,,"34,377.50",USD
462369910184,LFE0256783283001,462369910184, Sell,MESM6,MES,Micro E-mini S&P 500,,,,462369910197, Canceled,-2,0,0.25,,462369910197,04/10/2026 22:24:37,4/10/26,1,Tradingview, Stop,,6863.50,,6863.5,,,,,,USD
462369910228,LFE0256783283001,462369910228, Sell,MESM6,MES,Micro E-mini S&P 500,,,,462369910251, Canceled,-2,0,0.25,,462369910251,04/10/2026 23:48:13,4/10/26,1,Tradingview, Limit,6869.00,,6869.0,,,,,,,USD
