Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration,Commissions
1953397282,MNQH6,01/20/2026 21:34:48 +08:00,01/20/2026 21:36:09 +08:00,25220.75,25219.25,0.74,3,1,Short,01/20/2026 00:00:00 -06:00,01:20.8,
1953446261,MNQH6,01/20/2026 21:39:35 +08:00,01/20/2026 21:43:28 +08:00,25211,25210,0.74,2,1,Short,01/20/2026 00:00:00 -06:00,03:53.1,
1953480048,MNQH6,01/20/2026 21:44:50 +08:00,01/20/2026 21:48:44 +08:00,25225.75,25227.25,0.74,3,1,Long,01/20/2026 00:00:00 -06:00,03:53.7,
1953489916,MNQH6,01/20/2026 21:48:59 +08:00,01/20/2026 21:50:16 +08:00,25229.75,25225.75,0.74,8,1,Short,01/20/2026 00:00:00 -06:00,01:17.4,
1953506007,MNQH6,01/20/2026 21:50:27 +08:00,01/20/2026 21:52:53 +08:00,25218.25,25217.5,0.74,1.5,1,Short,01/20/2026 00:00:00 -06:00,02:25.6,
1953840000,MNQH6,01/20/2026 22:30:22 +08:00,01/20/2026 22:31:13 +08:00,25306.75,25274.25,0.74,-65,1,Long,01/20/2026 00:00:00 -06:00,00:51.7,
1953943837,MNQH6,01/20/2026 22:33:39 +08:00,01/20/2026 22:34:03 +08:00,25291.75,25322.5,0.74,61.5,1,Long,01/20/2026 00:00:00 -06:00,00:23.5,
1954519260,MNQH6,01/20/2026 22:45:02 +08:00,01/20/2026 22:51:31 +08:00,25328.75,25356,0.74,54.5,1,Long,01/20/2026 00:00:00 -06:00,06:29.3,
1954916025,MNQH6,01/20/2026 23:03:23 +08:00,01/20/2026 23:08:19 +08:00,25279.5,25280.75,0.74,2.5,1,Long,01/20/2026 00:00:00 -06:00,04:56.2,
1955003627,MNQH6,01/20/2026 23:08:45 +08:00,01/20/2026 23:12:35 +08:00,25278.25,25299.5,0.74,42.5,1,Long,01/20/2026 00:00:00 -06:00,03:49.3,
1955740790,MNQH6,01/20/2026 23:24:26 +08:00,01/20/2026 23:51:25 +08:00,25335,25323.25,0.74,-23.5,1,Long,01/20/2026 00:00:00 -06:00,26:59.7,
1955741406,MNQH6,01/20/2026 23:40:49 +08:00,01/20/2026 23:51:26 +08:00,25391.25,25321.75,0.74,-139,1,Long,01/20/2026 00:00:00 -06:00,10:36.6,
1956032665,MNQH6,01/20/2026 23:54:49 +08:00,01/21/2026 00:10:25 +08:00,25333,25405.75,0.74,145.5,1,Long,01/20/2026 00:00:00 -06:00,15:36.1,
1955903437,MNQH6,01/20/2026 23:54:49 +08:00,01/21/2026 00:01:18 +08:00,25333,25395.75,0.74,125.5,1,Long,01/20/2026 00:00:00 -06:00,06:28.2,
1961856361,MNQH6,01/21/2026 21:31:12 +08:00,01/21/2026 21:36:29 +08:00,25065.5,25054.25,0.74,22.5,1,Short,01/21/2026 00:00:00 -06:00,05:17.6,
